ds_date,city_name,orders_forecast_rooster,orders_real,worked_hours,rider_payments,utr_diario,cpo_diario,cph_diario
2026-02-19,Barquisimeto,401,333,190.04,6847.97,1.75,20.56,36.03
2026-02-19,Cabimas,0,,,6847.97,,,
2026-02-19,Caracas,4968,4257,2891.58,6847.97,1.47,1.61,2.37
2026-02-19,Guarenas,200,163,121.49,6847.97,1.34,42.01,56.37
2026-02-19,Maracaibo,92,78,56.33,6847.97,1.38,87.79,121.56
2026-02-19,Maracay,0,,,6847.97,,,
2026-02-19,Margarita,160,136,101.64,6847.97,1.34,50.35,67.38
2026-02-19,Puerto la cruz,294,233,164.95,6847.97,1.41,29.39,41.51
2026-02-19,San antonio,0,,,6847.97,,,
2026-02-19,San cristobal,0,,,6847.97,,,
2026-02-19,Test_merida,0,,,6847.97,,,
2026-02-19,Valencia,281,228,137.28,6847.97,1.66,30.03,49.88
2026-02-20,Barquisimeto,455,449,224.99,9108.38,2.0,20.29,40.48
2026-02-20,Cabimas,0,,,9108.38,,,
2026-02-20,Caracas,6042,5781,3322.72,9108.38,1.74,1.58,2.74
2026-02-20,Guarenas,244,224,148.54,9108.38,1.51,40.66,61.32
2026-02-20,Maracaibo,112,83,69.8,9108.38,1.19,109.74,130.49
2026-02-20,Maracay,0,,,9108.38,,,
2026-02-20,Margarita,174,168,122.31,9108.38,1.37,54.22,74.47
2026-02-20,Puerto la cruz,347,279,188.14,9108.38,1.48,32.65,48.41
2026-02-20,San antonio,0,,,9108.38,,,
2026-02-20,San cristobal,0,,,9108.38,,,
2026-02-20,Test_merida,0,,,9108.38,,,
2026-02-20,Valencia,361,302,188.24,9108.38,1.6,30.16,48.39
2026-02-21,Barquisimeto,436,472,216.85,9134.58,2.18,19.35,42.12
2026-02-21,Cabimas,0,,,9134.58,,,
2026-02-21,Caracas,5353,5470,3281.41,9134.58,1.67,1.67,2.78
2026-02-21,Guarenas,251,239,136.21,9134.58,1.75,38.22,67.06
2026-02-21,Maracaibo,93,80,57.41,9134.58,1.39,114.18,159.1
2026-02-21,Maracay,0,,,9134.58,,,
2026-02-21,Margarita,168,165,111.26,9134.58,1.48,55.36,82.1
2026-02-21,Puerto la cruz,345,262,183.84,9134.58,1.43,34.86,49.69
2026-02-21,San antonio,0,,,9134.58,,,
2026-02-21,San cristobal,0,,,9134.58,,,
2026-02-21,Test_merida,0,,,9134.58,,,
2026-02-21,Valencia,315,291,158.23,9134.58,1.84,31.39,57.73
2026-02-22,Barquisimeto,385,432,242.05,8494.34,1.78,19.66,35.09
2026-02-22,Cabimas,0,,,8494.34,,,
2026-02-22,Caracas,5180,5054,3031.84,8494.34,1.67,1.68,2.8
2026-02-22,Guarenas,236,221,160.51,8494.34,1.38,38.44,52.92
2026-02-22,Maracaibo,91,86,54.02,8494.34,1.59,98.77,157.26
2026-02-22,Maracay,0,,,8494.34,,,
2026-02-22,Margarita,168,148,104.39,8494.34,1.42,57.39,81.37
2026-02-22,Puerto la cruz,296,280,185.62,8494.34,1.51,30.34,45.76
2026-02-22,San antonio,0,,,8494.34,,,
2026-02-22,San cristobal,0,,,8494.34,,,
2026-02-22,Test_merida,0,,,8494.34,,,
2026-02-22,Valencia,293,264,158.7,8494.34,1.66,32.18,53.52
2026-02-23,Barquisimeto,368,355,246.02,6475.47,1.44,18.24,26.32
2026-02-23,Cabimas,0,,,6475.47,,,
2026-02-23,Caracas,3721,3933,2431.64,6475.47,1.62,1.65,2.66
2026-02-23,Guarenas,161,127,100.04,6475.47,1.27,50.99,64.73
2026-02-23,Maracaibo,87,79,55.47,6475.47,1.42,81.97,116.74
2026-02-23,Maracay,0,,,6475.47,,,
2026-02-23,Margarita,148,124,92.86,6475.47,1.34,52.22,69.74
2026-02-23,Puerto la cruz,228,269,151.41,6475.47,1.78,24.07,42.77
2026-02-23,San antonio,0,,,6475.47,,,
2026-02-23,San cristobal,0,,,6475.47,,,
2026-02-23,Test_merida,0,,,6475.47,,,
2026-02-23,Valencia,240,212,159.01,6475.47,1.33,30.54,40.72
2026-02-24,Barquisimeto,383,379,181.18,6845.71,2.09,18.06,37.78
2026-02-24,Cabimas,0,,,6845.71,,,
2026-02-24,Caracas,3937,3933,2405.69,6845.71,1.63,1.74,2.85
2026-02-24,Guarenas,171,167,112.52,6845.71,1.48,40.99,60.84
2026-02-24,Maracaibo,95,89,57.74,6845.71,1.54,76.92,118.57
2026-02-24,Maracay,0,,,6845.71,,,
2026-02-24,Margarita,149,142,96.94,6845.71,1.46,48.21,70.61
2026-02-24,Puerto la cruz,258,261,163.04,6845.71,1.6,26.23,41.99
2026-02-24,San antonio,0,,,6845.71,,,
2026-02-24,San cristobal,0,,,6845.71,,,
2026-02-24,Test_merida,0,,,6845.71,,,
2026-02-24,Valencia,256,261,157.07,6845.71,1.66,26.23,43.58
2026-02-25,Barquisimeto,381,355,187.91,7111.76,1.89,20.03,37.85
2026-02-25,Cabimas,0,,,7111.76,,,
2026-02-25,Caracas,4363,4275,2783.46,7111.76,1.54,1.66,2.56
2026-02-25,Guarenas,179,163,116.53,7111.76,1.4,43.63,61.03
2026-02-25,Maracaibo,90,94,60.6,7111.76,1.55,75.66,117.36
2026-02-25,Maracay,0,,,7111.76,,,
2026-02-25,Margarita,152,123,94.54,7111.76,1.3,57.82,75.23
2026-02-25,Puerto la cruz,264,280,163.04,7111.76,1.72,25.4,43.62
2026-02-25,San antonio,0,,,7111.76,,,
2026-02-25,San cristobal,0,,,7111.76,,,
2026-02-25,Test_merida,0,,,7111.76,,,
2026-02-25,Valencia,265,276,154.31,7111.76,1.79,25.77,46.09
2026-02-26,Barquisimeto,388,401,187.33,7869.28,2.14,19.62,42.01
2026-02-26,Cabimas,0,,,7869.28,,,
2026-02-26,Caracas,4694,4760,2956.23,7869.28,1.61,1.65,2.66
2026-02-26,Guarenas,207,198,125.17,7869.28,1.58,39.74,62.87
2026-02-26,Maracaibo,99,78,57.2,7869.28,1.36,100.89,137.57
2026-02-26,Maracay,0,,,7869.28,,,
2026-02-26,Margarita,154,140,102.0,7869.28,1.37,56.21,77.15
2026-02-26,Puerto la cruz,276,291,162.74,7869.28,1.79,27.04,48.35
